,Exp,Detail,Time,Eicosenoic acid,Docosatetranoic acid,Dihomolinoleic acid,Eicosadienoic acid,Docosapentanoic acid,Stearic acid,Docosahexanoic acid,Linoleic acid,Oleic acid,Arachidonic acid,Linolenic acid,Indoxyl sulfate,Palmitoleic acid,Palmitic acid,Pentadecanoic acid,Myristic acid,Lauric acid (dodecanoic acid),Panthenol,Methylthioadenosine,Thymidine (Deoxy),Uracil,Deoxyuridine,2-O-Methylinosine,Uridine,Pyruvate,Allantoin,Hippuric acid,Xanthine,3-(4-Hydroxyphenyl)lactate,N-Acetylmethionine,Ribitol,Arabitol,3-Hydroxybutyric acid,Lactate,Orotic acid,Fructose,Glucose,Glycerate,S-Sulfocyteine,Xanthosine,Orotidine,N-a-Acetyllysine,Methylglutarate,Uric Acid,N-Acetylornithine,N-Glycosyltaurine,gamma-Glutamylmethionine,Cysteic acid,3-Hydroxy-3-methylglutaric acid,alpha-Ketoglutarate,Cysteinsulfinate/Sulfinoalanine,Fumarate,Erythrose-4-phosphate,Glucuronic acid,Succinate,N-Acetylglutamate,Citramalic acid,Itaconate Iso1,Glutamate,N-Acetylaspartate,"Adenosine monophosphate, 3-",Aspartate,Malate,Glutamylthreonine,Glycerophosphorylserine,Acetyl-CoA,Adenosine monophosphate,Glycerol-3-phosphate,Dihydroxyacetonephosphate,Dimethylarginine,Uridine monophosphate,N-Acetylglucosamine-1-phosphate,Phosphate,Pyrophosphate,CDP-Ethanolamine,Glyceraldehyde-3-phosphate,Creatinephosphate,Adenosine triphosphate,Hexanoylcarnitine (C6),Glycine,N-Acetylaspartylglutamate,Homolysine,2-Aminoadipic acid,Methioninesulfoxide,Glutamine,Glutamylmethionine,Serine,Glycerophospoglycerol,Asparagine,Glycerophosphorylcholine,beta-Citrylglutamate,S-Adenosylhomocysteine,Glutamic acid,Citrulline,N-Methylhistidine,Glycerophosphorylethanolamine,N-Acetylspermidine,N-Acetylneuraminic acid,Dimethylarginine assymetric,Ophthalmic acid,Glutathione,Aspartic acid,Trimethyllysine,Histidine,N-Methyllysine,Homoarginine,1(3)-Methylhistidine,Arginine,Pipecolic acid,Lysine,Carnosine,Ornithine,Glutamylglutamine,Flavine adenine dinucleotide,S-Adenosylmethionine,Nicotinamidedinucleotide,Saccharopine,Cystathionine,Glycerophosphorylinositol,CDP-choline,Cystine,CDP-ethanolamine,Argininosuccinate,UDP N-Acetylglucosamine,Glutathione oxidised
1,Control,X,Short,0.2325229495763779,0.002819953486323357,0.4727134704589844,0.4348927140235901,0.01266308035701513,0,0.5293362736701965,0.6234234571456909,3.514645576477051,0.3732013702392578,0.03227102756500244,0.07190509140491486,1.244145750999451,6.745623588562012,0.0990920215845108,0.1012376621365547,0.1849858611822128,3.24095606803894,1.028454780578613,0.03813498094677925,3.534907817840576,0.5654281973838806,0.01482087094336748,4.583215236663818,0.02499119937419891,0.3107581734657288,0.0431724414229393,2.698658466339111,0.04055485874414444,0.02997873909771442,0.1157405376434326,0.3854508101940155,0.004986003506928682,12.12940788269043,0.1725263744592667,0.2549904882907867,0.1606679707765579,0.3634633123874664,0.2608696818351746,0.04263551905751228,0.1491512954235077,0.03816113248467445,0.009677253663539886,0.03171214461326599,0.2912567853927612,0.1399518251419067,0.09071601927280426,0.2143587172031403,0.1902344077825546,0.3486364185810089,0.1003571152687073,0.191930279135704,0.1213072910904884,0.1895501166582108,0.5346799492835999,0.2015000730752945,0.1291674673557281,0.02609376050531864,2.535188674926758,6.42549991607666,0.08475732058286667,0.9832900166511536,6.864851474761963,0.2320994883775711,0.1719174683094025,0.2712579965591431,0.01432208810001612,1.213802933692932,0.09349276125431061,0.1197400689125061,0.07407674938440323,0.3451317846775055,1.467194437980652,0.8240271210670471,0.5224641561508179,0.1964679956436157,0.04725087806582451,0.2114622294902802,0.3369708955287933,0.610028862953186,0.03537965938448906,0.1426130384206772,0.02688707038760185,0.05159487575292587,12.59877872467041,0.08021403849124908,0.5158477425575256,0.2030292898416519,0.2052705138921738,3.436283588409424,0.03561215475201607,0.9189676642417908,8.464430809020996,0.266793966293335,0.2107599973678589,0.6949247717857361,21.06710433959961,0.1926705539226532,1.753290176391602,0.01456578262150288,0.1683094352483749,0.2027343958616257,0.06754794716835022,0.5308997631072998,0.04785230383276939,0.2451501488685608,0.04828052222728729,0.8880165815353394,0.0705629363656044,0.368276834487915,0.01525786425918341,0.1868398636579514,0.1286601275205612,0.1122478172183037,0.3684841394424438,0.2128021270036697,0.2679276168346405,0.1422920078039169,0.1088984683156013,0.1041957661509514,0.2878980934619904,0.771431565284729,0.1258172392845154,0.22746542096138,0.1908043771982193
2,Control,X,Short,0.2382315546274185,0.002819953486323357,0.4032545685768127,0.03076737746596336,0.01542861666530371,0,0.2190736532211304,0.7722066044807434,2.31153678894043,0.3104187250137329,0.2689000368118286,0.06147399917244911,0.8753100633621216,3.20453667640686,0.1095798164606094,0.03594890609383583,0.1391779780387878,1.76075267791748,0.95720374584198,0.3441444933414459,2.940167665481567,1.00725269317627,0.1312566697597504,4.372245311737061,0.4872756600379944,0.2201735824346542,0.389710396528244,2.500670909881592,0.06023057550191879,0.1616553962230682,0.1774172633886337,0.222664937376976,0.05922292917966843,10.80288505554199,0.125848576426506,0.8974457383155823,0.3027560114860535,0.2366434931755066,0.1875296235084534,0.4277588427066803,0.2079479098320007,0.2990838885307312,0.07913915812969208,0.3031125366687775,0.1345259249210358,0.09054862707853317,0.1567344665527344,0.1735657602548599,0.1352323591709137,0.6192764639854431,0.1899608820676804,0.1649570465087891,0.2453864961862564,0.378017783164978,0.01751229912042618,0.07221207767724991,0.3200128078460693,0.3707039654254913,2.696664810180664,8.544638633728027,0.01594225689768791,0.9666475057601929,8.156852722167969,0.04598284512758255,0.1136178225278854,0.01450410857796669,0.07705271989107132,1.042929291725159,0.1659334599971771,0.3266109526157379,0.2471173256635666,0.4633538126945496,1.770837187767029,0.7590015530586243,0.1202836409211159,0.07779920101165771,0.07201393693685532,0.03282827511429787,0.1064208149909973,0.04349226877093315,0.1081699579954147,0.4157948195934296,0.01616043597459793,0.002160293515771627,12.36424922943115,0.07941208779811859,0.9121934771537781,0.2237799763679504,0.1420687735080719,1.835410952568054,0.1143388897180557,0.07272765040397644,8.657079696655273,0.7586710453033447,0.2468335330486298,0.1895086616277695,22.91780090332031,0.02820394746959209,1.713373064994812,0.3161678612232208,0.1175961717963219,0.0974632278084755,0.02579245716333389,0.2445303350687027,0.1297838240861893,0.2098340541124344,0.01799384690821171,0.7639837861061096,0.2098254859447479,0.4834185540676117,0.2193822264671326,0.2661638259887695,0.3622660040855408,0.06704290211200714,0.009205462411046028,0.3134460151195526,0.02518017403781414,0.2630494832992554,0.01700488850474358,0.4132771193981171,0.4766813516616821,0.04884057864546776,0.1988275796175003,0.1304370015859604,0.2741775810718536
3,Control,X,Short,0.02254766784608364,0.002819953486323357,0.566490113735199,0.1883645355701447,0.1942789405584335,0,0.1543555408716202,0.6522226333618164,4.461122035980225,0.2323235869407654,0.4107814133167267,0.2431797683238983,2.79173755645752,8.736345291137695,0.6577644944190979,0.1560070961713791,0.4134784340858459,1.354771852493286,2.250778913497925,0.6996673345565796,6.31324577331543,0.7350147366523743,0.1016479209065437,4.941237449645996,0.5729508399963379,0.4932177364826202,0.04639763385057449,2.485691547393799,0.02924076654016972,0.07114047557115555,0.01582498848438263,0.188962996006012,0.1012827306985855,13.51805114746094,0.4015125632286072,0.452318012714386,0.04106129705905914,0.05182154104113579,0.02043484337627888,0.04010123386979103,0.1248487159609795,0.1548883616924286,0.08867156505584717,0.0848320871591568,0.05029027163982391,0.4583466649055481,0.3009747862815857,0.273913711309433,0.4740725755691528,0.001152333454228938,0.1217401027679443,0.3342786431312561,0.6176327466964722,0.272611677646637,0.2517262995243073,0.1797385066747665,0.1803659498691559,0.1674428582191467,3.880066633224487,9.126212120056152,0.1188592985272408,0.7720288634300232,12.23081684112549,0.1809843182563782,0.005399576388299465,0.2969985008239746,0.01548366155475378,1.085081815719604,0.3295096457004547,0.1156918182969093,0.2061296403408051,0.02045494131743908,2.617003202438354,0.8098351359367371,0.1896972805261612,0.4213930666446686,0.2554124891757965,0.140562042593956,0.415619432926178,0.2733064293861389,0.2176850140094757,0.09067036956548691,0.12489003688097,0.1354075223207474,13.77691459655762,0.0898660197854042,0.6517931222915649,0.1406092792749405,0.4332114458084106,2.583973407745361,0.09907220304012299,0.7104136347770691,9.323468208312988,0.1009555757045746,0.1408885568380356,0.9657471776008606,29.63624000549316,0.05392493307590485,1.389161586761475,0.2229180335998535,0.5055546164512634,0.1174160987138748,0.03377316519618034,0.4433552622795105,0.1002151072025299,0.04740399867296219,0.1492750495672226,0.7956757545471191,0.4730990827083588,0.5752981305122375,0.3223725557327271,0.06766922771930695,0.103117011487484,0.02460219152271748,0.1004159599542618,0.2231078296899796,0.3358276188373566,0.3325257301330566,0.02836118079721928,0.08337438851594925,0.1084229499101639,0.3296530544757843,0.1681893765926361,0.01695768348872662,0.2577883899211884
4,Treatment,High,Short,0.09040845185518265,0.1307283341884613,0.7671411633491516,0.1104858964681625,0.2588877081871033,2,0.2026808857917786,0.04566113650798798,3.78568172454834,0.255292683839798,0.2092070430517197,0.4039931893348694,1.383336663246155,8.000767707824707,0.07815524190664291,0.787034809589386,0.03631816059350967,6.024417400360107,1.861382365226746,0.7349749803543091,4.146660804748535,0.8461921811103821,0.1072294116020203,5.926755428314209,0.2361550480127335,0.1699899435043335,0.2129813432693481,2.500227928161621,0.3784471452236176,0.511870801448822,0.2256039530038834,0.2692811191082001,0.4089604020118713,12.62570476531982,0.07026591897010803,0.2233566045761108,0.04478505626320839,0.1967858225107193,0.3537447154521942,0.189975842833519,0.2548084259033203,0.1478576064109802,0.2152540683746338,0.07440824061632156,0.1019810661673546,0.2371715754270554,0.1449605077505112,0.0472073033452034,0.03070950694382191,0.2141391485929489,0.1052252650260925,0.2631696760654449,0.2530292868614197,0.1447249799966812,0.4339175820350647,0.1484319716691971,0.2681284248828888,0.1590572446584702,3.316121339797974,7.785689353942871,0.02736438810825348,1.387220025062561,8.515459060668945,0.1071323975920677,0.2730528116226196,0.3113158345222473,0.1229941248893738,1.011404633522034,0.3725296258926392,0.4050965309143066,0.3444223403930664,0.1044275388121605,1.582432270050049,0.3988100290298462,0.08278437703847885,0.0263343695551157,0.2381381839513779,0.067337267100811,0.1029810756444931,0.3563277423381805,0.08248259872198105,0.2603773176670074,0.03088436461985111,0.06347973644733429,13.53522109985352,0.3109970390796661,0.5206859111785889,0.2442633956670761,0.01885912753641605,4.567008972167969,0.1956532597541809,0.5076428055763245,10.56021785736084,0.5711470246315002,0.7834290862083435,1.02984631061554,30.98757553100586,0.04051047191023827,2.175503253936768,0.3161830604076385,0.103207603096962,0.02893314883112907,0.02791078016161919,0.1474240124225616,0.1784518510103226,0.1967103332281113,0.1381572633981705,0.9023023247718811,0.1610576212406158,0.6845969557762146,0.1954297423362732,0.2364354431629181,0.03052315302193165,0.009768142364919186,0.300752192735672,0.2229292988777161,0.08164557069540024,0.05999212339520454,0.1034966930747032,0.05962658673524857,0.7090213894844055,0.1263118833303452,0.09069297462701797,0.1241016834974289,0.1110854223370552
5,Treatment,High,Short,0.02704641968011856,0.1307283341884613,0.5564343333244324,0.002154977526515722,0.1283028423786163,2,0.1326026916503906,0.3722956776618958,2.552891969680786,0.08907587826251984,0.3602360188961029,0.4206504225730896,0.4667108654975891,0.8597345948219299,0.09060681611299515,0.1791655570268631,0.1493599265813828,0.7261001467704773,0.8498706221580505,0.1430885791778564,1.407961130142212,0.1706647425889969,0.008047113195061684,6.234116554260254,0.5692752003669739,0.9943504929542542,0.688454270362854,3.606046915054321,0.6945953965187073,0.04652310535311699,0.08939117938280106,0.241107389330864,0.1617799401283264,21.38291358947754,0.122989222407341,1.37841260433197,0.935096263885498,0.2620158195495605,0.1826107650995255,0.1056371554732323,0.2146318703889847,0.2442664802074432,0.3098420798778534,0.3587466180324554,0.001795145915821195,0.03778831660747528,0.2470064461231232,0.1587083339691162,0.4716672599315643,0.0245759654790163,0.01677518151700497,0.6355775594711304,0.04720647633075714,0.1027205660939217,0.59297776222229,0.1780694127082825,0.5894097089767456,0.5656623244285583,4.641185283660889,11.43587589263916,0.06294272840023041,2.565448045730591,12.7991189956665,0.09556068480014801,0.1324034482240677,0.03841480612754822,0.07701965421438217,1.492760300636292,0.2540863454341888,0.1879091262817383,0.02694104053080082,0.07148507237434387,3.341059684753418,0.645749568939209,0.1054834052920341,0.1025175973773003,0.3868243396282196,0.01197397150099277,0.1216575726866722,0.4347643852233887,0.1178012266755104,0.100692518055439,0.1599254161119461,0.8634027242660522,21.88657760620117,0.1070416420698166,0.7100116014480591,0.06341957300901413,0.6402307748794556,5.071140289306641,0.03601917251944542,0.01873115636408329,9.95161247253418,1.209585428237915,1.626677393913269,0.9116422533988953,39.91470336914062,0.2389045059680939,1.976744174957275,0.2361852377653122,0.3369961977005005,0.03566662594676018,0.2619921863079071,0.5912380218505859,0.02395744435489178,0.1888049095869064,0.1570310443639755,1.239664435386658,0.5521252751350403,1.075892567634583,0.1053644269704819,0.172192394733429,0.2721714079380035,0.05251720547676086,0.018999844789505,0.1317399144172668,0.002128006657585502,0.2523341476917267,0.1123811602592468,0.07268015295267105,0.3333833515644073,0.5680631995201111,0.2383629828691483,0.346546858549118,0.06990259885787964
6,Treatment,High,Short,0.08087051659822464,0.130728334188461,0.6557416915893555,0.05010876804590225,0.1119470968842506,2,0.4152467250823975,0.2277784794569016,3.126139879226685,0.4570433497428894,0.03853485360741615,0.2996160387992859,1.738715648651123,0.3001619577407837,0.4353665709495544,0.1025996208190918,0.06984154134988785,0.6232944130897522,2.69213342666626,0.7870818972587585,7.022117137908936,1.16587495803833,0.04903546348214149,7.578944683074951,0.3433511257171631,0.2589538097381592,0.119478702545166,2.517524719238281,0.0863010361790657,0.2257505506277084,0.01001812051981688,0.03426423296332359,0.3925108015537262,11.75158786773682,0.07131818681955338,0.6280665397644043,0.3615586757659912,0.4327556490898132,0.0258649680763483,0.2241050899028778,0.2070888429880142,0.1276574581861496,0.1869171410799026,0.09364699572324753,0.3887325525283813,0.03735208883881569,0.04748308658599854,0.1745558530092239,0.2992149293422699,0.08622901886701584,0.07969377934932709,0.8041506409645081,0.007852321490645409,0.09935297816991806,0.5520223379135132,0.2476964741945267,0.7559966444969177,0.2587901949882507,5.430647850036621,10.48403644561768,0.2184672057628632,1.708734154701233,14.53515148162842,0.03255768120288849,0.07354773581027985,0.06628485023975372,0.08439414948225021,1.968644380569458,0.1358000636100769,0.03802159801125526,0.1962536573410034,0.3181104362010956,3.669155120849609,1.667331576347351,0.1496353298425674,0.02344679273664951,0.296400785446167,0.02681641653180122,0.2561103403568268,0.2425238490104675,0.5264437794685364,0.1478439271450043,0.5395931601524353,0.4195834696292877,15.62784957885742,0.1369534581899643,0.8680372834205627,0.0266206618398428,0.3174400329589844,5.455152988433838,0.1862102001905441,0.2767212092876434,12.66598415374756,0.5046469569206238,0.05454260855913162,0.9006392955780029,56.95945358276367,0.1364766508340836,1.7955002784729,0.3377377390861511,0.1165964975953102,0.397810161113739,0.2211051285266876,0.6077289581298828,0.0873425155878067,0.1387614607810974,0.0035552061162889,0.9085488319396973,0.1321988552808762,0.470917671918869,0.1806496232748032,0.06760343909263611,0.09498395025730133,0.02143337205052376,0.04203096032142639,0.1428743153810501,0.2505984306335449,0.2327478229999542,0.124957263469696,0.2160857021808624,0.03790744766592979,0.2454132884740829,0.03306497633457184,0.4674772322177887,0.087667316198349
7,Treatment,Low,Short,0.1741362065076828,0.02802890911698341,0.3970464169979095,0.09644262492656708,0.1755554229021072,1,0.09139729291200638,0.1512647271156311,2.921615839004517,0.3758530914783478,0.1476152688264847,0.4009320437908173,1.479334712028503,2.009106636047363,0.1928824186325073,0.2941677272319794,0.01952204294502735,1.504398822784424,1.652592897415161,0.7463520765304565,3.212966918945312,0.7757153511047363,0.1320195198059082,5.380282878875732,0.05245171114802361,0.1375859081745148,0.2972822487354279,2.228363037109375,0.08220440149307251,0.00924003031104803,0.2216029167175293,0.1096243932843208,0.00123167026322335,11.7179126739502,0.2851162850856781,0.5874281525611877,0.1398530304431915,0.234634205698967,0.2087466418743134,0.05649778619408607,0.1207749471068382,0.03367577865719795,0.02548564784228802,0.1426715105772018,0.008972292765974998,0.1028815358877182,0.01506638992577791,0.3936075270175934,0.05543981492519379,0.005513519980013371,0.2057265490293503,0.3957112431526184,0.3335874676704407,0.3151815235614777,0.331626832485199,0.3153688907623291,0.327165812253952,0.02083000168204308,2.861891269683838,6.392730712890625,0.0645514577627182,0.9770212769508362,6.828574657440186,0.01381108164787292,0.09480568021535873,0.2381392568349838,0.2025907188653946,0.6710280776023865,0.4640878438949585,0.1955641806125641,0.2727007269859314,0.0003490655799396336,1.368642449378967,0.2294677197933197,0.1084263920783997,0.1853936612606049,0.08500919491052628,0.1580499261617661,0.1718743294477463,0.1462946832180023,0.09296580404043198,0.1262710243463516,0.3647808730602264,0.1560966372489929,12.38883590698242,0.3559909462928772,0.489255279302597,0.5588853359222412,0.3267057836055756,2.311453819274902,0.1688782870769501,0.5405870079994202,9.914376258850098,0.6057692766189575,0.5050797462463379,0.2804468274116516,23.52890205383301,0.1181993335485458,1.486476540565491,0.1178851947188377,0.3340465128421783,0.1742262989282608,0.2173987478017807,0.4516331553459167,0.2447773516178131,0.1177245527505875,0.01352937333285809,0.7281270623207092,0.05620130151510239,0.4593167304992676,0.02010709792375565,0.1244860216975212,0.1030005514621735,0.0874716266989708,0.2948271930217743,0.07436540722846985,0.3508223593235016,0.04290450736880302,0.05037920922040939,0.186755508184433,0.04317806288599968,0.3520399034023285,0.2951726019382477,0.2525671422481537,0.1103616282343864
8,Treatment,Low,Short,0.6525156497955322,0.02802890911698341,0.526638925075531,0.462263286113739,0.4479155242443085,1,0.6087517142295837,0.4780167639255524,3.015891790390015,0.5398687720298767,0.03773876652121544,0.140090212225914,0.6848505735397339,0.6539404392242432,0.05455100163817406,0.2009778469800949,0.2082660645246506,1.468991994857788,1.436566829681396,0.2637106776237488,3.48357081413269,0.7198142409324646,0.3703433275222778,5.666608810424805,0.03650953620672226,0.633539617061615,0.3198176920413971,2.988092184066772,0.4563147723674774,0.2774801552295685,0.1228974536061287,0.02431382238864899,0.184617817401886,11.72716045379639,0.2234080284833908,0.9118632078170776,0.4310116767883301,0.06791581213474274,0.2175344675779343,0.03155247494578362,0.3528277575969696,0.06763125211000443,0.01616480946540833,0.06180275976657867,0.3145539164543152,0.1041147634387016,0.1055303514003754,0.217771515250206,0.4631740748882294,0.005347816739231348,0.504663348197937,0.6008080840110779,0.0845927968621254,0.02689117006957531,0.4479821026325226,0.1816683411598206,0.4036648869514465,0.2471887022256851,3.363674163818359,9.283000946044922,0.02826122939586639,1.182983160018921,9.132611274719238,0.03315425291657448,0.08040225505828857,0.1827269196510315,0.1606257855892181,1.602400541305542,0.02425026707351208,0.007020051125437021,0.1484081447124481,0.4318807721138,1.947023868560791,0.7496877312660217,0.0542188324034214,0.0391325019299984,0.1403036713600159,0.16678187251091,0.00151788501534611,0.05307882651686668,0.242486760020256,0.2677488029003143,0.08786001056432724,0.03608621284365654,12.65728759765625,0.269335150718689,0.5758581757545471,0.159242644906044,0.09202175587415695,1.870170474052429,0.1275839954614639,0.2899007797241211,8.340935707092285,0.378332257270813,0.124952495098114,0.8461560010910034,21.55060768127441,0.2866240739822388,1.925618052482605,0.1996621787548065,0.08631405979394913,0.1621850728988647,0.01044023782014847,0.1473209410905838,0.06956745684146881,0.2321648299694061,0.2492214143276215,0.5835597515106201,0.147595077753067,0.3924264311790466,0.04724994674324989,0.1591923534870148,0.02410677447915077,0.1742756217718124,0.1684330701828003,0.02648601122200489,0.3900881707668304,0.1730820387601852,0.1314116418361664,0.1034890562295914,0.2210326492786407,0.07074877619743347,0.1049196049571037,0.1270349472761154,0.221949964761734
